version,section,function,length,matching
us,asm,func_global_asm_80657CB0,372,yes
us,asm,func_global_asm_80642844,252,yes
us,asm,func_global_asm_8067AE0C,76,yes
us,asm,func_global_asm_806C49D0,244,yes
us,asm,func_global_asm_80659600,16,yes
us,asm,func_global_asm_8060B84C,172,yes
us,asm,func_global_asm_806FB480,8,yes
us,asm,func_global_asm_80649E00,52,yes
us,asm,func_global_asm_80656F14,1444,no
us,asm,func_global_asm_806018D4,104,yes
us,asm,func_global_asm_80647170,168,yes
us,asm,func_global_asm_806F3950,44,yes
us,asm,free,64,yes
us,asm,func_global_asm_80714360,52,yes
us,asm,func_global_asm_805FBC5C,424,no
us,asm,func_global_asm_80663DA0,556,yes
us,asm,func_global_asm_806CBE90,636,yes
us,asm,func_global_asm_806D0150,92,yes
us,asm,func_global_asm_8071BE04,512,yes
us,asm,func_global_asm_806EA8A0,92,yes
us,asm,func_global_asm_806E2DE8,132,yes
us,asm,func_global_asm_8065A660,152,yes
us,asm,func_global_asm_8064CC80,188,yes
us,asm,func_global_asm_8070E8F0,2520,no
us,asm,func_global_asm_80672328,632,no
us,asm,func_global_asm_80639CD0,588,yes
us,asm,func_global_asm_80714A38,32,yes
us,asm,func_global_asm_807127F4,60,yes
us,asm,func_global_asm_806653C0,392,no
us,asm,func_global_asm_8066EA90,44,yes
us,asm,func_global_asm_806845B8,252,yes
us,asm,func_global_asm_8070033C,848,no
us,asm,func_global_asm_806D3AC8,32,yes
us,asm,func_global_asm_806896D0,32,yes
us,asm,func_global_asm_8062EFA0,176,yes
us,asm,func_global_asm_8070DC40,100,yes
us,asm,func_global_asm_80712634,36,yes
us,asm,func_global_asm_80663A80,360,yes
us,asm,func_global_asm_80686F90,240,yes
us,asm,func_global_asm_80726DC0,44,yes
us,asm,func_global_asm_806A1FD0,8,yes
us,asm,func_global_asm_806EE924,112,yes
us,asm,func_global_asm_8068DAF4,176,yes
us,asm,func_global_asm_80705B14,28,yes
us,asm,func_global_asm_806C2D7C,120,yes
us,asm,func_global_asm_80666D88,380,yes
us,asm,func_global_asm_806534E0,420,yes
us,asm,func_global_asm_8073FD90,880,no
us,asm,func_global_asm_806EAFEC,8,yes
us,asm,func_global_asm_806C1B50,380,no
us,asm,func_global_asm_80643274,224,yes
us,asm,func_global_asm_806A60E4,40,yes
us,asm,func_global_asm_806C55E0,1600,no
us,asm,func_global_asm_80663C60,312,yes
us,asm,func_global_asm_806E64D0,236,yes
us,asm,func_global_asm_806A6134,40,yes
us,asm,func_global_asm_8067470C,376,no
us,asm,func_global_asm_8060E980,168,yes
us,asm,func_global_asm_806DB0C4,744,no
us,asm,func_global_asm_8063162C,424,no
us,asm,func_global_asm_806F386C,228,yes
us,asm,func_global_asm_806A1FD8,848,yes
us,asm,func_global_asm_80679490,92,yes
us,asm,func_global_asm_8065092C,108,no
us,asm,func_global_asm_806D2DC4,216,yes
us,asm,func_global_asm_8065C990,1040,no
us,asm,func_global_asm_80662110,72,yes
us,asm,func_global_asm_806A2A10,248,no
us,asm,func_global_asm_805FF378,352,yes
us,asm,func_global_asm_806A5F44,96,yes
us,asm,func_global_asm_806B1D78,92,yes
us,asm,func_global_asm_80601D24,448,no
us,asm,func_global_asm_80672E6C,32,yes
us,asm,func_global_asm_8065D994,1708,no
us,asm,func_global_asm_80679010,84,yes
us,asm,func_global_asm_806E8E78,140,yes
us,asm,playSoundAtObjectModel2,144,yes
us,asm,func_global_asm_806765E8,168,yes
us,asm,func_global_asm_80659350,120,yes
us,asm,func_global_asm_806E352C,172,yes
us,asm,func_global_asm_80656B98,704,no
us,asm,func_global_asm_806F4EBC,148,yes
us,asm,countSetFlags,116,yes
us,asm,func_global_asm_806F1768,240,no
us,asm,func_global_asm_8073D1F0,2112,no
